               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.035095,            0.020709,           0.0075665,             0.75008,             0.68804,             0.74195,              0.4463,            0.034255,            0.014006,           0.0084715,            0.002872,            0.002872,            0.002872
                  38,            0.035682,            0.021159,           0.0071334,             0.70357,             0.76241,             0.75457,             0.47085,            0.034148,            0.014059,           0.0088469,            0.002674,            0.002674,            0.002674
                  39,            0.035535,            0.022894,            0.007681,             0.79273,             0.66159,             0.73301,             0.47637,             0.03307,               0.014,           0.0089275,            0.002476,            0.002476,            0.002476
                  40,            0.031568,              0.0197,           0.0064461,             0.74382,             0.72324,              0.7508,             0.48098,            0.035171,            0.013934,           0.0090391,            0.002278,            0.002278,            0.002278
                  41,            0.034809,            0.021405,           0.0087218,             0.79223,             0.72189,             0.76247,             0.49459,            0.033993,            0.013985,           0.0095229,             0.00208,             0.00208,             0.00208
                  42,            0.032582,            0.019944,           0.0094481,             0.84532,             0.69857,             0.75535,             0.49529,            0.032542,            0.013717,           0.0093367,            0.001882,            0.001882,            0.001882
                  43,            0.032994,            0.019202,           0.0078047,             0.87941,             0.70582,             0.76191,             0.49154,            0.032991,            0.013616,           0.0090932,            0.001684,            0.001684,            0.001684
                  44,            0.032579,            0.023304,            0.010019,             0.86555,             0.68983,             0.77247,             0.51459,            0.031282,            0.013523,           0.0083117,            0.001486,            0.001486,            0.001486
                  45,             0.03162,            0.020255,           0.0069265,             0.77967,             0.70328,             0.75516,             0.51722,            0.031704,            0.013512,           0.0080572,            0.001288,            0.001288,            0.001288
                  46,            0.031302,            0.022849,           0.0091454,             0.71029,             0.79431,             0.76414,             0.51899,            0.030644,             0.01339,           0.0078425,             0.00109,             0.00109,             0.00109
                  47,            0.029878,            0.018393,           0.0075231,             0.77205,             0.74609,             0.76459,             0.52736,             0.03042,            0.013329,           0.0076472,            0.000892,            0.000892,            0.000892
                  48,            0.031722,            0.018213,           0.0068754,             0.71842,             0.78319,             0.77013,             0.53962,            0.030514,            0.013322,           0.0076153,            0.000694,            0.000694,            0.000694
                  49,             0.02804,            0.020216,           0.0065457,             0.71971,             0.81399,             0.77875,             0.53239,            0.029774,            0.013248,           0.0077139,            0.000496,            0.000496,            0.000496
